Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price
Fujifilm FinePix S6000 fd,2006,2848,2048,6,28,300,40,10,10,700,131,399
Fujifilm FinePix S602Z,2002,2832,2048,3,35,210,50,1,16,590,121,399
Fujifilm FinePix S602Z Pro,2002,2832,2048,3,35,210,50,1,340,590,121,1699
Fujifilm FinePix S7000 Z,2003,4048,2848,6,35,210,50,1,16,590,121,229
Fujifilm FinePix S8000 fd,2007,3264,2304,8,27,486,70,10,58,510,111,399
Fujifilm FinePix S9000 Z,2005,3488,2592,9,28,300,50,1,16,745,128,229
Fujifilm FinePix S9100,2006,3488,2592,9,28,300,0,0,0,750,128,229
Fujifilm FinePix V10 Zoom,2006,2592,2048,5,36,130,60,9,16,185,83,179
Fujifilm FinePix Z1,2005,2592,2048,5,36,108,60,8,16,170,90,179
Fujifilm FinePix Z10  fd,2007,3072,2304,7,38,114,60,8,54,160,91,399
Fujifilm FinePix Z2,2005,2592,2048,5,36,108,60,8,16,170,90,179
Fujifilm FinePix Z3,2006,2592,2048,5,36,108,60,8,10,170,89,179
Fujifilm FinePix IS Pro,2007,4256,3024,6,0,0,0,0,0,920,147,1699
Fujifilm MX-1200,1999,1280,640,1,38,38,70,10,4,240,110,169
Fujifilm MX-1400,2000,1280,640,1,38,114,80,10,4,390,74,169
Fujifilm MX-1500,1999,1280,640,1,38,38,50,10,4,250,104,169
Fujifilm MX-1700,1999,1280,640,1,38,114,80,20,8,270,79,169
Fujifilm MX-2700,1999,1800,1280,2,35,35,50,9,4,260,80,169
Fujifilm MX-2900 Zoom,1999,1800,1280,2,35,105,90,25,8,385,130,179
Fujifilm FinePix 4700 Zoom,2000,2400,1280,2,36,108,80,20,16,280,78,169
Fujifilm MX-500,1998,1280,640,1,35,35,50,9,2,220,123,169
Fujifilm MX-600 Zoom,1999,1280,640,1,38,115,90,25,4,0,122,179
Fujifilm MX-700,1998,1280,640,1,35,35,50,9,2,260,80,169
Fujifilm FinePix S1 Pro,2000,3040,2340,3,0,0,0,0,16,820,148,1699
Fujifilm FinePix S2 Pro,2002,4256,3024,6,0,0,0,0,0,850,142,1699
Fujifilm FinePix S3 Pro,2004,4256,3024,6,0,0,0,0,0,930,148,1699
Fujifilm FinePix S5 Pro,2006,4256,3024,6,0,0,0,0,0,920,147,1699
