,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date,img_url1,img_url2,img_url3,img_url4,img_url5
55,Apple,iPhone X 256GB Black (MQAG2),iOS,1186,18713,9835,23113,43,5.8,256,2716,17-Sep,/imagephone/apple/iphone-x-black-1.jpg,/imagephone/apple/iphone-x-black-2.jpg,/imagephone/apple/iphone-x-black-3.jpg,/imagephone/apple/iphone-x-black-4.jpg,/imagephone/apple/iphone-x-black-5.jpg
56,Apple,iPhone X 64GB White (MQAC2),iOS,1212,14185,11000,21113,25,5.8,64,2716,17-Sep,/imagephone/apple/iphone-x-white-1.jpg,/imagephone/apple/iphone-x-white-2.jpg,/imagephone/apple/iphone-x-white-3.jpg,/imagephone/apple/iphone-x-white-4.jpg,/imagephone/apple/iphone-x-white-5.jpg
57,Apple,iPhone XR 128GB Black (MRY92),iOS,1166,19050,13580,22520,102,6.1,128,2942,18-Sep,/imagephone/apple/iphonexr-black-1.jpg,/imagephone/apple/iphonexr-black-2.jpg,/imagephone/apple/iphonexr-black-3.jpg,/imagephone/apple/iphonexr-black-4.jpg,/imagephone/apple/iphonexr-black-5.jpg
58,Apple,iPhone XR 128GB White (MRY92),iOS,1166,19050,13580,22520,102,6.1,128,2942,18-Sep,/imagephone/apple/iphonexr-white-1.jpg,/imagephone/apple/iphonexr-white-2.jpg,/imagephone/apple/iphonexr-white-3.jpg,/imagephone/apple/iphonexr-white-4.jpg,/imagephone/apple/iphonexr-white-5.jpg
59,Apple,iPhone XR 128GB Carot (MRY92),iOS,1166,19050,13580,22520,102,6.1,128,2942,18-Sep,/imagephone/apple/iphonexr-carot-1.jpg,/imagephone/apple/iphonexr-carot-2.jpg,/imagephone/apple/iphonexr-carot-3.jpg,/imagephone/apple/iphonexr-carot-4.jpg,/imagephone/apple/iphonexr-carot-5.jpg
60,Apple,iPhone XR 128GB Red (MH7L3),iOS,729,19810,17680,22999,27,6.1,128,2942,20-Nov,/imagephone/apple/iphonexr-red-1.jpg,/imagephone/apple/iphonexr-red-2.jpg,/imagephone/apple/iphonexr-red-3.jpg,/imagephone/apple/iphonexr-red-4.jpg,/imagephone/apple/iphonexr-red-5.jpg
61,Apple,iPhone XR 128GB Blue (MRY92),iOS,1166,19050,13580,22520,102,6.1,128,2942,18-Sep,/imagephone/apple/iphonexr-blue-1.jpg,/imagephone/apple/iphonexr-blue-2.jpg,/imagephone/apple/iphonexr-blue-3.jpg,/imagephone/apple/iphonexr-blue-4.jpg,
62,Apple,iPhone XR 128GB Yellow (MRY92),iOS,1166,19050,13580,22520,102,6.1,128,2942,18-Sep,/imagephone/apple/iphonexr-yellow-1.jpg,/imagephone/apple/iphonexr-yellow-2.jpg,/imagephone/apple/iphonexr-yellow-3.jpg,/imagephone/apple/iphonexr-yellow-4.jpg,
63,Apple,iPhone XR 256GB Black (MRYJ2),iOS,852,21688,15281,28489,41,6.1,256,2942,18-Sep,/imagephone/apple/iphonexr-black-1.jpg,/imagephone/apple/iphonexr-black-2.jpg,/imagephone/apple/iphonexr-black-3.jpg,/imagephone/apple/iphonexr-black-4.jpg,/imagephone/apple/iphonexr-black-5.jpg
64,Apple,iPhone XR 64GB Black (MRY42),iOS,1218,16938,12049,19870,125,6.1,64,2942,18-Sep,/imagephone/apple/iphonexr-black-1.jpg,/imagephone/apple/iphonexr-black-2.jpg,/imagephone/apple/iphonexr-black-3.jpg,/imagephone/apple/iphonexr-black-4.jpg,/imagephone/apple/iphonexr-black-5.jpg
65,Apple,iPhone XR 64GB White (MH6M3),iOS,843,17977,16046,20999,24,6.1,64,2942,20-Nov,/imagephone/apple/iphonexr-white-1.jpg,/imagephone/apple/iphonexr-white-2.jpg,/imagephone/apple/iphonexr-white-3.jpg,/imagephone/apple/iphonexr-white-4.jpg,/imagephone/apple/iphonexr-white-5.jpg
66,Apple,iPhone XS 256GB Gold (MT9K2),iOS,1126,21463,15281,25617,68,5.8,256,2568,18-Sep,/imagephone/apple/iphonexs-gold-1-1.jpg,/imagephone/apple/iphonexs-gold-1-2.jpg,/imagephone/apple/iphonexs-gold-1-3.jpg,/imagephone/apple/iphonexs-gold-1-4.jpg,/imagephone/apple/iphonexs-gold-1-5.jpg
67,Apple,iPhone XS 256GB Black (MT9K2),iOS,1126,21463,15281,25617,68,5.8,256,2568,18-Sep,/imagephone/apple/iphonexs-black-1-1.jpg,/imagephone/apple/iphonexs-black-1-2.jpg,/imagephone/apple/iphonexs-black-1-3.jpg,/imagephone/apple/iphonexs-black-1-4.jpg,/imagephone/apple/iphonexs-black-1-5.jpg
68,Apple,iPhone XS 256GB White (MT9K2),iOS,1126,21463,15281,25617,68,5.8,256,2568,18-Sep,/imagephone/apple/iphonexs-white-1-1.jpg,/imagephone/apple/iphonexs-white-1-2.jpg,/imagephone/apple/iphonexs-white-1-3.jpg,/imagephone/apple/iphonexs-white-1-4.jpg,/imagephone/apple/iphonexs-white-1-5.jpg
69,Apple,iPhone XS 64GB Black (MT9E2),iOS,1187,19790,12505,23928,53,5.8,64,2568,18-Sep,/imagephone/apple/iphonexs-black-1-1.jpg,/imagephone/apple/iphonexs-black-1-2.jpg,/imagephone/apple/iphonexs-black-1-3.jpg,/imagephone/apple/iphonexs-black-1-4.jpg,/imagephone/apple/iphonexs-black-1-5.jpg
70,Apple,iPhone XS 64GB White (MT9E2),iOS,1187,19790,12505,23928,53,5.8,64,2568,18-Sep,/imagephone/apple/iphonexs-white-1-1.jpg,/imagephone/apple/iphonexs-white-1-2.jpg,/imagephone/apple/iphonexs-white-1-3.jpg,/imagephone/apple/iphonexs-white-1-4.jpg,/imagephone/apple/iphonexs-white-1-5.jpg
71,Apple,iPhone XS Max 256GB Gold (MT552),iOS,1128,24184,18399,30600,37,6.5,256,3174,18-Sep,/imagephone/apple/iphonexs-max-gold-1.jpg,/imagephone/apple/iphonexs-max-gold-2.jpg,/imagephone/apple/iphonexs-max-gold-3.jpg,/imagephone/apple/iphonexs-max-gold-4.jpg,/imagephone/apple/iphonexs-max-gold-5.jpg
72,Apple,iPhone XS Max 256GB Black (MT552),iOS,1128,24184,18399,30600,37,6.5,256,3174,18-Sep,/imagephone/apple/iphonexs-max-black-1.jpg,/imagephone/apple/iphonexs-max-black-2.jpg,/imagephone/apple/iphonexs-max-black-3.jpg,/imagephone/apple/iphonexs-max-black-4.jpg,/imagephone/apple/iphonexs-max-black-5.jpg
73,Apple,iPhone XS Max 256GB White (MT552),iOS,1128,24184,18399,30600,37,6.5,256,3174,18-Sep,/imagephone/apple/iphonexs-max-white-1.jpg,/imagephone/apple/iphonexs-max-white-2.jpg,/imagephone/apple/iphonexs-max-white-3.jpg,/imagephone/apple/iphonexs-max-white-4.jpg,/imagephone/apple/iphonexs-max-white-5.jpg
74,Apple,iPhone XS Max 512GB Black (MT622),iOS,842,27190,21150,30200,47,6.5,512,3174,18-Sep,/imagephone/apple/iphonexs-max-black-1.jpg,/imagephone/apple/iphonexs-max-black-2.jpg,/imagephone/apple/iphonexs-max-black-3.jpg,/imagephone/apple/iphonexs-max-black-4.jpg,/imagephone/apple/iphonexs-max-black-5.jpg
75,Apple,iPhone XS Max 64GB Gold (MT522),iOS,1101,22685,16018,27900,61,6.5,64,3174,18-Sep,/imagephone/apple/iphonexs-max-gold-1.jpg,/imagephone/apple/iphonexs-max-gold-2.jpg,/imagephone/apple/iphonexs-max-gold-3.jpg,/imagephone/apple/iphonexs-max-gold-4.jpg,/imagephone/apple/iphonexs-max-gold-5.jpg
76,Apple,iPhone XS Max Dual Sim 64GB Gold (MT732),iOS,530,24600,21939,33720,28,6.5,64,3174,18-Sep,/imagephone/apple/iphonexs-max-gold-1.jpg,/imagephone/apple/iphonexs-max-gold-2.jpg,/imagephone/apple/iphonexs-max-gold-3.jpg,/imagephone/apple/iphonexs-max-gold-4.jpg,/imagephone/apple/iphonexs-max-gold-5.jpg
