,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date,img_url1,img_url2,img_url3,img_url4,img_url5
62,Samsung,Galaxy S21 8/128GB Phantom Grey (SM-G991BZADSEK),Android,1175,26751,24059,27655,25,6.2,128,4000,21-Jan,/imagephone/samsung/samsung-galaxy-s21-xam-1.jpg,/imagephone/samsung/samsung-galaxy-s21-xam-2.jpg,/imagephone/samsung/samsung-galaxy-s21-xam-3.jpg,/imagephone/samsung/samsung-galaxy-s21-xam-4.jpg,/imagephone/samsung/samsung-galaxy-s21-xam-5.jpg
63,Samsung,Galaxy S21 8/128GB White (SM-G991BZADSEK),Android,1175,26751,24059,27655,25,6.2,128,4000,21-Jan,/imagephone/samsung/samsung-galaxy-s21-trang-1.jpg,/imagephone/samsung/samsung-galaxy-s21-trang-2.jpg,/imagephone/samsung/samsung-galaxy-s21-trang-3.jpg,/imagephone/samsung/samsung-galaxy-s21-trang-4.jpg,/imagephone/samsung/samsung-galaxy-s21-trang-5.jpg
64,Samsung,Galaxy S21 Ultra 12/128GB Purple (SM-G998BZKDSEK),Android,1104,37630,34899,40559,28,6.8,128,5000,21-Jan,/imagephone/samsung/samsung-galaxy-s21-tim-1.jpg,/imagephone/samsung/samsung-galaxy-s21-tim-2.jpg,/imagephone/samsung/samsung-galaxy-s21-tim-3.jpg,/imagephone/samsung/samsung-galaxy-s21-tim-4.jpg,/imagephone/samsung/samsung-galaxy-s21-tim-5.jpg
65,Samsung,Galaxy S21+ 8/128GB Phantom Black (SM-G996BZKDSEK),Android,979,31574,29319,33601,32,6.7,128,4800,21-Jan,/imagephone/samsung/samsung-galaxy-s21-plus-den-1.jpg,/imagephone/samsung/samsung-galaxy-s21-plus-den-2.jpg,/imagephone/samsung/samsung-galaxy-s21-plus-den-3.jpg,/imagephone/samsung/samsung-galaxy-s21-plus-den-4.jpg,/imagephone/samsung/samsung-galaxy-s21-plus-den-5.jpg
66,Samsung,Galaxy S8 64GB Blue,Android,908,7864,7640,8089,2,5.8,64,3000,17-Mar,/imagephone/samsung/samsung-galaxy-s8-xanhduong-1.jpg,/imagephone/samsung/samsung-galaxy-s8-xanhduong-2.jpg,/imagephone/samsung/samsung-galaxy-s8-xanhduong-3.jpg,/imagephone/samsung/samsung-galaxy-s8-xanhduong-4.jpg,/imagephone/samsung/samsung-galaxy-s8-xanhduong-5.jpg
67,Samsung,Galaxy S8 G950F Single Sim 64GB Black,Android,886,7640,,,1,5.8,64,3000,18-Feb,/imagephone/samsung/samsung-galaxy-s8-den-1.jpg,/imagephone/samsung/samsung-galaxy-s8-den-2.jpg,/imagephone/samsung/samsung-galaxy-s8-den-3.jpg,/imagephone/samsung/samsung-galaxy-s8-den-4.jpg,/imagephone/samsung/samsung-galaxy-s8-den-5.jpg
68,Samsung,Galaxy S8+ 64GB Black (SM-G955FZKD),Android,871,10787,8299,12898,7,6.2,64,3500,17-Mar,/imagephone/samsung/samsung-galaxy-s8-plus-den-1.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-den-2.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-den-3.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-den-4.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-den-5.jpg
69,Samsung,Galaxy S8+ SM-G955U 64GB Gold,Android,664,8709,,,1,6.2,64,3500,20-Dec,/imagephone/samsung/samsung-galaxy-s8-plus-gold-1.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-gold-2.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-gold-3.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-gold-4.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-gold-5.jpg
70,Samsung,Galaxy S8+ SM-G955U 64GB Blue,Android,664,8709,,,1,6.2,64,3500,20-Dec,/imagephone/samsung/samsung-galaxy-s8-plus-blue-1.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-blue-2.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-blue-3.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-blue-4.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-blue-5.jpg
71,Samsung,Galaxy S8+ SM-G955U 64GB Purple,Android,664,8709,,,1,6.2,64,3500,20-Dec,/imagephone/samsung/samsung-galaxy-s8-plus-tim-1.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-tim-2.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-tim-3.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-tim-4.jpg,/imagephone/samsung/samsung-galaxy-s8-plus-tim-5.jpg
72,Samsung,Galaxy S9 SM-G960 DS 128GB Black (SM-G960FZKG),Android,167,14990,,,1,5.8,128,3000,18-Feb,/imagephone/samsung/samsung-galaxy-s9-den-1.jpg,/imagephone/samsung/samsung-galaxy-s9-den-2.jpg,/imagephone/samsung/samsung-galaxy-s9-den-3.jpg,/imagephone/samsung/samsung-galaxy-s9-den-4.jpg,/imagephone/samsung/samsung-galaxy-s9-den-5.jpg
73,Samsung,Galaxy S9 SM-G960 DS 128GB Purple (SM-G960FZPG),Android,249,13537,12754,14367,9,5.8,128,3000,18-Feb,/imagephone/samsung/samsung-galaxy-s9-tim-1.jpg,/imagephone/samsung/samsung-galaxy-s9-tim-2.jpg,/imagephone/samsung/samsung-galaxy-s9-tim-3.jpg,/imagephone/samsung/samsung-galaxy-s9-tim-4.jpg,/imagephone/samsung/samsung-galaxy-s9-tim-5.jpg
74,Samsung,Galaxy S9+ SM-G965 DS 128GB Black,Android,376,13550,,,1,6.2,128,3500,18-Feb,/imagephone/samsung/samsung-galaxy-s9-plus-den-1.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-den-2.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-den-3.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-den-4.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-den-5.jpg
75,Samsung,Galaxy S9+ SM-G965 DS 128GB Blue,Android,230,13436,12592,14703,9,6.2,128,3500,18-Feb,/imagephone/samsung/samsung-galaxy-s9-plus-blue-1.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-blue-2.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-blue-3.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-blue-4.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-blue-5.jpg
76,Samsung,Galaxy S9+ SM-G965 DS 128GB Purple,Android,470,14502,12870,16135,2,6.2,128,3500,18-Feb,/imagephone/samsung/samsung-galaxy-s9-plus-tim-1.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-tim-2.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-tim-3.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-tim-4.jpg,/imagephone/samsung/samsung-galaxy-s9-plus-tim-5.jpg
77,Samsung,Galaxy Z Flip 5G SM-F707 8/256GB Black,Android,696,22434,21930,24530,13,6.7,256,3300,20-Oct,samsung-galaxy-z-flip-den-1.jpg,samsung-galaxy-z-flip-den-2.jpg,samsung-galaxy-z-flip-den-3.jpg,samsung-galaxy-z-flip-den-4.jpg,samsung-galaxy-z-flip-den-5.jpg
78,Samsung,Galaxy Z Flip SM-F700 8/256GB Mirror Purple (SM-F700FZPD),Android,1029,35015,24588,41999,16,6.7,256,3300,20-Feb,samsung-galaxy-z-flip-tim-1.jpg,samsung-galaxy-z-flip-tim-2.jpg,,,
79,Samsung,Galaxy Z Fold2 12/256GB Mystic Black (SM-F916BZKQ),Android,1099,51460,44809,59999,33,7.6,256,4500,20-Aug,samsung-galaxy-z-fold-2-den-1.jpg,samsung-galaxy-z-fold-2-den-2.jpg,samsung-galaxy-z-fold-2-den-3.jpg,samsung-galaxy-z-fold-2-den-4.jpg,samsung-galaxy-z-fold-2-den-5.jpg
