,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
791,Xiaomi,Redmi 9 3/32GB Grey NFC,Android,1151,4047,3795,4854,69,6.53,32,5020,20-Jun
792,Xiaomi,Redmi 9 3/32GB Purple no NFC,Android,654,4099,3733,4840,11,6.53,32,5020,20-Nov
793,Xiaomi,Redmi 9 4/128GB Blue (no NFC),Android,367,4960,4690,5588,8,6.53,128,5020,20-Oct
794,Xiaomi,Redmi 9 4/128GB Blue (no NFC),Android,359,4960,4690,5588,8,6.53,128,5020,20-Oct
795,Xiaomi,Redmi 9 4/128GB Green (no NFC),Android,263,4822,4740,4929,3,6.53,128,5020,20-Oct
796,Xiaomi,Redmi 9 4/128GB Green (no NFC),Android,275,4822,4740,4929,3,6.53,128,5020,20-Oct
797,Xiaomi,Redmi 9 4/128GB Grey (no NFC),Android,615,4861,4638,5238,14,6.53,128,5020,20-Oct
798,Xiaomi,Redmi 9 4/128GB Pink (no NFC),Android,748,4846,4690,5029,14,6.53,128,5020,20-Oct
799,Xiaomi,Redmi 9 4/64GB Grey NFC,Android,1206,4492,4295,5254,47,6.53,64,5020,20-Jun
800,Xiaomi,Redmi 9 4/64Gb Pink (no NFC),Android,976,4316,4077,4745,8,6.53,64,5020,20-Nov
801,Xiaomi,Redmi 9 6/128GB Grey (no NFC),Android,1015,5179,4740,5663,13,6.53,128,5020,20-Oct
802,Xiaomi,Redmi 9A 2/32GB Granite Gray,Android,1142,3163,2898,4155,62,6.53,32,5000,20-Jul
803,Xiaomi,Redmi 9C 2/32GB Midnight Gray,Android,934,3490,3293,4302,36,6.53,32,5000,20-Aug
804,Xiaomi,Redmi 9C 3/64GB Midnight Gray,Android,1123,3778,3697,4499,10,6.53,64,5000,20-Aug
805,Xiaomi,Redmi 9C NFC 2/32GB Midnight Gray,Android,863,3484,3199,3809,29,6.53,32,5000,20-Aug
806,Xiaomi,Redmi 9C NFC 3/64GB Midnight Gray,Android,796,4256,3599,4920,3,6.53,64,5000,20-Aug
807,Xiaomi,Redmi 9T 4/128GB Twilight Blue,Android,1107,6064,5847,6600,10,6.53,128,6000,21-Jan
808,Xiaomi,Redmi 9T 4/64GB Sunrise Orange,Android,544,5495,,,2,6.53,64,6000,21-Jan
809,Xiaomi,Redmi K30 6/128GB Purple,Android,582,8000,7850,8200,3,6.67,128,4500,20-May
810,Xiaomi,Redmi K30 8/128GB Purple,Android,1138,7725,7350,8499,16,6.67,128,4500,20-May
811,Xiaomi,Redmi K30 8/256GB Red,Android,699,8577,8220,9214,7,6.67,256,4500,20-May
812,Xiaomi,Redmi K30 Pro 6/128GB White,Android,963,14108,,,1,6.67,128,4700,20-May
813,Xiaomi,Redmi Note 4 3/32GB (Gray),Android,669,2819,,,1,5.5,32,4100,16-Nov
814,Xiaomi,Redmi Note 4 3/64GB (Gold),Android,255,2931,,,1,5.5,64,4100,16-Sep
815,Xiaomi,Redmi Note 4 3/64GB (Gold),Android,267,2931,,,1,5.5,64,4100,16-Sep
816,Xiaomi,Redmi Note 4x 3/32GB Black,Android,945,2675,2560,2789,4,5.5,32,4100,17-Feb
817,Xiaomi,Redmi Note 4x 4/64GB Black,Android,1127,2809,2730,2889,2,5.5,64,4100,17-May
818,Xiaomi,Redmi Note 4x 4/64GB Gold,Android,781,2809,2730,2889,2,5.5,64,4100,17-May
819,Xiaomi,Redmi Note 5 3/32GB Black,Android,937,3320,3316,3325,2,5.9,32,4000,18-May
