,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
430,Samsung,Galaxy A80 2019 A8050 8/128GB Black,Android,310,13296,13031,13709,6,6.7,128,3700,19-Aug
431,Samsung,Galaxy A9 2018 6/128Gb Blue (SM-A920FZBD),Android,472,8610,7099,9199,4,6.3,128,3800,18-Nov
432,Samsung,Galaxy Fold 12/256GB Black,Android,298,55338,45799,59999,4,7.3,256,4380,19-Nov
433,Samsung,Galaxy Fold 12/512GB Black (SM-F900FZKD),Android,819,41310,34100,56999,31,7.3,512,4380,19-Mar
434,Samsung,Galaxy Fold 5G SM-F907B 12/512GB Black,Android,304,37640,35400,49593,10,7.3,512,4235,20-Mar
435,Samsung,Galaxy Fold 5G SM-F907B 12/512GB Silver,Android,330,37173,35400,49737,10,7.3,512,4235,20-Mar
436,Samsung,Galaxy J6 2018 2/32GB Gold (SM-J600FZDD),Android,761,3498,,,1,5.6,32,3000,18-Jun
437,Samsung,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),Android,132,4268,4116,4516,6,6.22,16,3400,19-Mar
438,Samsung,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),Android,157,4268,4116,4516,6,6.22,16,3400,19-Mar
439,Samsung,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),Android,107,4268,4116,4516,6,6.22,16,3400,19-Mar
440,Samsung,Galaxy M10 SM-M105F 3/32GB Black,Android,270,4100,,,1,6.22,32,3400,19-Mar
441,Samsung,Galaxy M10 SM-M105F 3/32GB Black,Android,258,4100,,,1,6.22,32,3400,19-Mar
442,Samsung,Galaxy M10 SM-M105F 3/32GB Blue,Android,64,4095,4090,4100,2,6.22,32,3400,19-Mar
443,Samsung,Galaxy M10S M107F 3/32GB Black,Android,145,4882,4650,4999,3,6.4,32,4000,20-Apr
444,Samsung,Galaxy M115 M11 3/32 Black (SM-M115FZKN),Android,1049,4171,3799,4677,8,6.4,32,5000,20-Apr
445,Samsung,Galaxy M21 4/64GB Black (SM-M215FZKU),Android,1204,5849,5228,6181,67,6.4,64,6000,20-Apr
446,Samsung,Galaxy M30 SM-M305F 4/64GB Gradation Blue,Android,443,6749,5950,7838,5,6.4,64,5000,19-May
447,Samsung,Galaxy M31 6/128GB Black (SM-M315FZKU),Android,1214,7196,6698,7571,44,6.4,128,6000,20-Feb
448,Samsung,Galaxy M31s 6/128GB Blue (SM-M317FZBN),Android,1184,8359,7429,9199,55,6.5,128,6000,20-Sep
449,Samsung,Galaxy M51 6/128GB Black (SM-M515FZKD),Android,1220,9620,8555,10394,55,6.7,128,7000,20-Sep
