brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url1,img_url2,img_url3,img_url4,img_url5
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,35990,46990,23,0,0,0,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,39990,52990,24,4.4,181,19,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,36990,44990,17,4.5,70,9,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,48990,58990,16,0,0,0,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,37990,50990,25,4.3,990,108,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,49990,28,4.4,130,12,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.3,30,4,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,32-bit,0,Casual,14,1,Yes,Yes,51990,67990,23,4.7,6,2,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,48990,62990,22,4.5,174,30,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,42990,57990,25,4.5,40,7,/imagelaptop/asus/asus-vivobook-1-1.jpg,/imagelaptop/asus/asus-vivobook-1-2.jpg,/imagelaptop/asus/asus-vivobook-1-3.jpg,/imagelaptop/asus/asus-vivobook-1-4.jpg,/imagelaptop/asus/asus-vivobook-1-5.jpg
