brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url1,img_url2,img_url3,img_url4,img_url5
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,38990,62190,37,3.9,13,1,,,,,
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,Yes,No,54990,79690,30,4.5,245,34,,,,,
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,42990,63790,32,4.4,984,99,,,,,
Lenovo,Ideapad,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,57999,85000,31,3.4,10,2,,,,,
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4,2124,233,,,,,
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38990,55890,30,0,0,0,,,,,
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,36990,57990,36,3.7,103,10,,,,,
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38999,50990,23,3.6,7,2,,,,,
Lenovo,Celeron,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,29999,37400,19,3.3,19,1,,,,,
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4X,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,25990,40490,35,3.7,84,16,,,,,
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,16990,24840,31,3.4,414,54,,,,,
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,24990,34890,28,2.8,70,16,,,,,
lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,72990,90000,18,4.2,204,19,,,,,
Lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,2,Casual,Missing,0,No,No,46990,62290,24,4.2,4428,569,,,,,
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,49490,75390,34,4.3,365,35,,,,,
lenovo,Yoga,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,102990,139890,26,4.6,79,14,,,,,
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,61999,68999,10,2.8,4,0,,,,,
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,2,No,Yes,52990,74390,28,4.2,300,24,,,,,
