brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url,img_url2,img_url3,img_url4,img_url5
acer,Predator,Intel,Core i7,10th,16 GB GB,DDR4,2048 GB,0 GB,Windows,64-bit,8,Casual,16,1,No,No,159990,160190,0,3.8,4,0,/imagelaptop/acer/acer-predator-3-1.jpg,/imagelaptop/acer/acer-predator-3-2.jpg,/imagelaptop/acer/acer-predator-3-3.jpg,/imagelaptop/acer/acer-predator-3-4.jpg,/imagelaptop/acer/acer-predator-3-5.jpg
acer,Predator,Intel,Core i7,10th,16 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,6,Casual,16,1,No,No,119990,140990,14,4.6,2038,313,/imagelaptop/acer/acer-predator-3-1.jpg,/imagelaptop/acer/acer-predator-3-2.jpg,/imagelaptop/acer/acer-predator-3-3.jpg,/imagelaptop/acer/acer-predator-3-4.jpg,/imagelaptop/acer/acer-predator-3-5.jpg
acer,Predator,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,1024 GB,Windows,64-bit,4,Casual,15.6,1,No,No,92990,130990,29,4.5,214,37,/imagelaptop/acer/acer-predator-3-1.jpg,/imagelaptop/acer/acer-predator-3-2.jpg,/imagelaptop/acer/acer-predator-3-3.jpg,/imagelaptop/acer/acer-predator-3-4.jpg,/imagelaptop/acer/acer-predator-3-5.jpg
acer,Predator,Intel,Core i7,11th,16 GB GB,DDR4,512 GB,1024 GB,Windows,32-bit,6,Casual,15.6,1,No,No,119990,140990,14,4.5,342,54,/imagelaptop/acer/acer-predator-3-1.jpg,/imagelaptop/acer/acer-predator-3-2.jpg,/imagelaptop/acer/acer-predator-3-3.jpg,/imagelaptop/acer/acer-predator-3-4.jpg,/imagelaptop/acer/acer-predator-3-5.jpg
acer,Predator,Intel,Core i9,11th,32 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,8,Casual,15.6,1,No,No,169990,199999,15,0,0,0,/imagelaptop/acer/acer-predator-1-1.jpg,/imagelaptop/acer/acer-predator-1-2.jpg,/imagelaptop/acer/acer-predator-1-3.jpg,/imagelaptop/acer/acer-predator-1-4.jpg,/imagelaptop/acer/acer-predator-1-5.jpg
acer,Predator,Intel,Core i9,11th,16 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,15.6,1,No,No,139990,179999,22,0,0,0,/imagelaptop/acer/acer-predator-1-1.jpg,/imagelaptop/acer/acer-predator-1-2.jpg,/imagelaptop/acer/acer-predator-1-3.jpg,/imagelaptop/acer/acer-predator-1-4.jpg,/imagelaptop/acer/acer-predator-1-5.jpg
acer,Aspire,AMD,Dual Core,Missing,4 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,29990,34990,14,0,0,0,/imagelaptop/acer/acer-aspire-1-1.jpg,/imagelaptop/acer/acer-aspire-1-2.jpg,/imagelaptop/acer/acer-aspire-1-3.jpg,/imagelaptop/acer/acer-aspire-1-4.jpg,/imagelaptop/acer/acer-aspire-1-5.jpg
acer,Predator,Intel,Genuine Windows,10th,4 GB GB,DDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,129999,0,0,4.5,3227,693,/imagelaptop/acer/acer-predator-2-1.jpg,/imagelaptop/acer/acer-predator-2-2.jpg,/imagelaptop/acer/acer-predator-2-3.jpg,/imagelaptop/acer/acer-predator-2-4.jpg,/imagelaptop/acer/acer-predator-2-5.jpg
acer,Aspire,AMD,Ryzen 3,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,36990,44999,17,4.6,11,2,/imagelaptop/acer/acer-aspire-1-1.jpg,/imagelaptop/acer/acer-aspire-1-2.jpg,/imagelaptop/acer/acer-aspire-1-3.jpg,/imagelaptop/acer/acer-aspire-1-4.jpg,/imagelaptop/acer/acer-aspire-1-5.jpg
acer,Aspire,AMD,Ryzen 3,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,0,No,No,34990,42999,18,0,0,0,/imagelaptop/acer/acer-aspire-1-1.jpg,/imagelaptop/acer/acer-aspire-1-2.jpg,/imagelaptop/acer/acer-aspire-1-3.jpg,/imagelaptop/acer/acer-aspire-1-4.jpg,/imagelaptop/acer/acer-aspire-1-5.jpg
acer,Swift,AMD,Ryzen 5,Missing,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,53990,89999,40,4.9,7,0,/imagelaptop/acer/acer-swift-2-1.jpg,/imagelaptop/acer/acer-swift-2-2.jpg,/imagelaptop/acer/acer-swift-2-3.jpg,/imagelaptop/acer/acer-swift-2-4.jpg,/imagelaptop/acer/acer-swift-2-5.jpg
acer,Aspire,AMD,Ryzen 5,Missing,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,43990,52999,16,0,0,0,/imagelaptop/acer/acer-aspire-1-1.jpg,/imagelaptop/acer/acer-aspire-1-2.jpg,/imagelaptop/acer/acer-aspire-1-3.jpg,/imagelaptop/acer/acer-aspire-1-4.jpg,/imagelaptop/acer/acer-aspire-1-5.jpg
acer,Aspire,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44990,56990,21,4.4,313,39,/imagelaptop/acer/acer-aspire-1-1.jpg,/imagelaptop/acer/acer-aspire-1-2.jpg,/imagelaptop/acer/acer-aspire-1-3.jpg,/imagelaptop/acer/acer-aspire-1-4.jpg,/imagelaptop/acer/acer-aspire-1-5.jpg
acer,Aspire,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,49990,72990,31,4.4,47,6,/imagelaptop/acer/acer-aspire-2-1.jpg,/imagelaptop/acer/acer-aspire-2-2.jpg,/imagelaptop/acer/acer-aspire-2-3.jpg,/imagelaptop/acer/acer-aspire-2-4.jpg,/imagelaptop/acer/acer-aspire-2-5.jpg
acer,Aspire,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,49990,64990,23,4.5,6,1,/imagelaptop/acer/acer-aspire-2-1.jpg,/imagelaptop/acer/acer-aspire-2-2.jpg,/imagelaptop/acer/acer-aspire-2-3.jpg,/imagelaptop/acer/acer-aspire-2-4.jpg,/imagelaptop/acer/acer-aspire-2-5.jpg
acer,Aspire,AMD,Ryzen 5,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,75999,0,0,0,0,0,/imagelaptop/acer/acer-aspire-2-1.jpg,/imagelaptop/acer/acer-aspire-2-2.jpg,/imagelaptop/acer/acer-aspire-2-3.jpg,/imagelaptop/acer/acer-aspire-2-4.jpg,/imagelaptop/acer/acer-aspire-2-5.jpg
acer,Aspire,AMD,Ryzen 7,Missing,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,59990,79999,25,0,0,0,/imagelaptop/acer/acer-aspire-2-1.jpg,/imagelaptop/acer/acer-aspire-2-2.jpg,/imagelaptop/acer/acer-aspire-2-3.jpg,/imagelaptop/acer/acer-aspire-2-4.jpg,/imagelaptop/acer/acer-aspire-2-5.jpg
acer,Swift,AMD,Ryzen 7,Missing,4 GB GB,DDR4,1024 GB,0 GB,Windows,64-bit,4,Casual,16,1,No,No,99990,139999,28,0,0,0,/imagelaptop/acer/acer-swift-1-1.jpg,/imagelaptop/acer/acer-swift-1-2.jpg,/imagelaptop/acer/acer-swift-1-3.jpg,/imagelaptop/acer/acer-swift-1-4.jpg,/imagelaptop/acer/acer-swift-1-5.jpg
acer,Nitro,AMD,Ryzen 7,Missing,16 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,6,Casual,15.6,1,No,No,89990,119990,25,4.4,272,36,/imagelaptop/acer/acer-nitro5-2-1.jpg,/imagelaptop/acer/acer-nitro5-2-2.jpg,/imagelaptop/acer/acer-nitro5-2-3.jpg,/imagelaptop/acer/acer-nitro5-2-4.jpg,
acer,Nitro,AMD,Ryzen 7,Missing,16 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,15.6,0,No,No,81990,119900,31,4.5,141,24,/imagelaptop/acer/acer-nitro5-2-1.jpg,/imagelaptop/acer/acer-nitro5-2-2.jpg,/imagelaptop/acer/acer-nitro5-2-3.jpg,/imagelaptop/acer/acer-nitro5-2-4.jpg,
