brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews,img_url1,img_url2,img_url3,img_url4,img_url5
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,49826,15,3.9,29,7,/imagelaptop/dell/dell-vostro-1-1.jpg,/imagelaptop/dell/dell-vostro-1-2.jpg,/imagelaptop/dell/dell-vostro-1-3.jpg,/imagelaptop/dell/dell-vostro-1-4.jpg,/imagelaptop/dell/dell-vostro-1-5.jpg
DELL,Inspiron,Intel,Core i3,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,45490,60046,24,4.2,43,4,/imagelaptop/dell/dell-inspiron-1-1.jpg,/imagelaptop/dell/dell-inspiron-1-2.jpg,/imagelaptop/dell/dell-inspiron-1-3.jpg,/imagelaptop/dell/dell-inspiron-1-4.jpg,/imagelaptop/dell/dell-inspiron-1-5.jpg
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,41790,54784,23,0,0,0,/imagelaptop/dell/dell-vostro-1-1.jpg,/imagelaptop/dell/dell-vostro-1-2.jpg,/imagelaptop/dell/dell-vostro-1-3.jpg,/imagelaptop/dell/dell-vostro-1-4.jpg,/imagelaptop/dell/dell-vostro-1-5.jpg
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,45930,58229,21,0,0,0,/imagelaptop/dell/dell-inspiron-1-1.jpg,/imagelaptop/dell/dell-inspiron-1-2.jpg,/imagelaptop/dell/dell-inspiron-1-3.jpg,/imagelaptop/dell/dell-inspiron-1-4.jpg,/imagelaptop/dell/dell-inspiron-1-5.jpg
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,50693,16,4,276,40,/imagelaptop/dell/dell-inspiron-1-1.jpg,/imagelaptop/dell/dell-inspiron-1-2.jpg,/imagelaptop/dell/dell-inspiron-1-3.jpg,/imagelaptop/dell/dell-inspiron-1-4.jpg,/imagelaptop/dell/dell-inspiron-1-5.jpg
DELL,Vostro,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,42190,44780,5,3.9,250,21,/imagelaptop/dell/dell-vostro-1-1.jpg,/imagelaptop/dell/dell-vostro-1-2.jpg,/imagelaptop/dell/dell-vostro-1-3.jpg,/imagelaptop/dell/dell-vostro-1-4.jpg,/imagelaptop/dell/dell-vostro-1-5.jpg
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,54517,27,4,1917,189,/imagelaptop/dell/dell-vostro-1-1.jpg,/imagelaptop/dell/dell-vostro-1-2.jpg,/imagelaptop/dell/dell-vostro-1-3.jpg,/imagelaptop/dell/dell-vostro-1-4.jpg,/imagelaptop/dell/dell-vostro-1-5.jpg
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,39990,55534,27,3.8,15,1,/imagelaptop/dell/dell-inspiron-2-1.jpg,/imagelaptop/dell/dell-inspiron-2-2.jpg,/imagelaptop/dell/dell-inspiron-2-3.jpg,/imagelaptop/dell/dell-inspiron-2-4.jpg,/imagelaptop/dell/dell-inspiron-2-5.jpg
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,43400,49000,11,4.1,231,26,/imagelaptop/dell/dell-inspiron-2-1.jpg,/imagelaptop/dell/dell-inspiron-2-2.jpg,/imagelaptop/dell/dell-inspiron-2-3.jpg,/imagelaptop/dell/dell-inspiron-2-4.jpg,/imagelaptop/dell/dell-inspiron-2-5.jpg
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43000,46629,7,4.1,313,35,/imagelaptop/dell/dell-inspiron-2-1.jpg,/imagelaptop/dell/dell-inspiron-2-2.jpg,/imagelaptop/dell/dell-inspiron-2-3.jpg,/imagelaptop/dell/dell-inspiron-2-4.jpg,/imagelaptop/dell/dell-inspiron-2-5.jpg
