Model,Release date,maxResolution,lowResolution,effectivePixels,zoomWide,zoomTele,normalFocusRange,macroFocusRange,storageIncluded,weight,Dimensions,Price,img_url1,img_url2,img_url3,img_url4,img_url5
Nikon Coolpix L10,2007,2560,2048,4,37,112,40,15,7,165,90,99,/imagecamera/nikon/nikon-CoolpixL10-1.jpg,/imagecamera/nikon/nikon-CoolpixL10-2.jpg,/imagecamera/nikon/nikon-CoolpixL10-3.jpg,
Nikon Coolpix L15,2007,3264,2592,8,35,105,50,15,32,225,91,159,/imagecamera/nikon/nikon-CoolpixL15-1.jpg,/imagecamera/nikon/nikon-CoolpixL15-2.jpg,
Nikon Coolpix P50,2007,3264,3200,8,28,102,50,5,52,210,95,229,/imagecamera/nikon/nikon-CoolpixP50-1.jpg,/imagecamera/nikon/nikon-CoolpixP50-2.jpg,
Nikon Coolpix P5000,2007,3648,2592,10,36,126,30,4,26,240,98,399,/imagecamera/nikon/nikon-CoolpixP5000-1.jpg,/imagecamera/nikon/nikon-CoolpixP5000-2.jpg,/imagecamera/nikon/nikon-CoolpixP5000-3.jpg,
Nikon Coolpix P5100,2007,4000,3264,12,35,123,30,4,52,250,98,399,/imagecamera/nikon/nikon-CoolpixP5100-1.jpg,/imagecamera/nikon/nikon-CoolpixP5100-2.jpg,
Nikon Coolpix S200,2007,3072,2592,7,38,114,60,10,20,165,92,229,/imagecamera/nikon/nikon-CoolpixS200-1.jpg,/imagecamera/nikon/nikon-CoolpixS200-2.jpg,/imagecamera/nikon/nikon-CoolpixS200-3.jpg,
Nikon Coolpix S5,2006,2816,2048,6,35,105,30,4,21,165,93,229,/imagecamera/nikon/nikon-CoolpixS5-1.jpg,/imagecamera/nikon/nikon-CoolpixS5-2.jpg,/imagecamera/nikon/nikon-CoolpixS5-3.jpg,
Nikon Coolpix S50,2007,3072,2592,7,38,114,30,4,13,165,88,229,/imagecamera/nikon/nikon-CoolpixS50-1.jpg,/imagecamera/nikon/nikon-CoolpixS50-2.jpg,/imagecamera/nikon/nikon-CoolpixS50-3.jpg,/imagecamera/nikon/nikon-CoolpixS50-4.jpg,
Nikon Coolpix S500,2007,3072,2592,7,35,105,50,15,26,165,88,229,/imagecamera/nikon/nikon-CoolpixS500-1.jpg,/imagecamera/nikon/nikon-CoolpixS500-2.jpg,
Nikon Coolpix S50c,2007,3072,2592,7,38,114,30,4,13,165,88,329,/imagecamera/nikon/nikon-CoolpixS50c-1.jpg,/imagecamera/nikon/nikon-CoolpixS50c-2.jpg,
Nikon Coolpix S51,2007,3264,2592,7,38,114,30,4,13,175,93,279,/imagecamera/nikon/nikon-CoolpixS51-2.jpg,/imagecamera/nikon/nikon-CoolpixS51-1.jpg,
Nikon Coolpix S510,2007,3264,3200,8,35,105,50,15,52,125,88,399,/imagecamera/nikon/nikon-CoolpixS510-1.jpg,
Nikon Coolpix S51c,2007,3264,2592,7,38,114,30,4,13,175,98,329,/imagecamera/nikon/nikon-CoolpixS51c-1.jpg,/imagecamera/nikon/nikon-CoolpixS51c-2.jpg,/imagecamera/nikon/nikon-CoolpixS51c-3.jpg,/imagecamera/nikon/nikon-CoolpixS51c-4.jpg,
Nikon Coolpix S6,2006,2816,2048,6,35,105,30,4,20,170,101,199,/imagecamera/nikon/nikon-CoolpixS6-1.jpg,/imagecamera/nikon/nikon-CoolpixS6-2.jpg,
Nikon Coolpix S7c,2006,3072,2592,7,35,105,30,4,14,170,101,199,/imagecamera/nikon/nikon-CoolpixS7c-1.jpg,/imagecamera/nikon/nikon-CoolpixS7c-2.jpg,
Nikon Coolpix S9,2006,2816,2048,6,38,114,25,4,24,165,91,199,/imagecamera/nikon/nikon-CoolpixS9-1.jpg,
Nikon D2Xs,2006,4288,3216,12,0,0,0,0,0,1200,158,4699,/imagecamera/nikon/nikon-D2Xs-1.jpg,
Nikon D3,2007,4256,3184,12,0,0,0,0,0,1300,160,4999,/imagecamera/nikon/nikon-D3-1.jpg,
Nikon D300,2007,4288,3216,12,0,0,0,0,0,925,147,1799,/imagecamera/nikon/nikon-D300-1.png,
Nikon D40,2006,3008,2256,6,0,0,0,0,0,522,124,549,/imagecamera/nikon/nikon-d40-1.png,
Nikon D40X,2007,3872,2896,10,0,0,0,0,0,522,124,549,/imagecamera/nikon/nikon-d40x-1.png,
Nikon D80,2006,3872,2896,10,0,0,0,0,0,668,132,1199,/imagecamera/nikon/nikon-D80-1.jpg,
